Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale	GP_regression.Gaussian_noise.variance
1.0	0.9996551154547324	0.6040018217374067	0.0003449606543110987
2.0	0.9996551154547324	0.6040018217374067	0.0003449606543110987
3.0	0.9990201116539568	0.4345841520960376	0.0009798813991900091
4.0	0.6474282770420258	20.72331414862226	0.3752959862424352
5.0	0.9449022244882097	9.247708197816387	3.368813236004656e-09
6.0	0.91952186748827	11.60846789708272	2.9573745163958107e-09
7.0	0.9157915058305208	13.549611686444942	1.0000111243036122e-09
8.0	0.9880998420203766	2.5689312961399384	1.5055912896224403e-06
9.0	0.9833179464259814	2.9851673857726517	1.0007033105754345e-09
10.0	0.9861964797464465	3.293620294466506	1.0999999998880572e-09
11.0	0.9907158234226345	3.5267157835235605	1.0000334072167736e-09
12.0	0.9987358565434281	3.7441893934861397	1.0010269359980448e-09
13.0	1.0055743922360987	3.8970640576671975	1.0999999997884958e-09
14.0	1.0154866172447015	4.060427049306427	1.0999999997754837e-09
15.0	1.0245804473988571	4.188572150995507	1.099999999748955e-09
16.0	1.0351569457586667	4.313997326580945	1.0999999997386158e-09
17.0	1.0484893166795373	4.431089694116495	1.0999999997740235e-09
18.0	1.0363629892828445	3.188004134810318	1.0999999998694082e-09
19.0	1.0481004116643267	3.285382265457966	1.0999999999235602e-09
20.0	1.062705482687886	3.3187827044155145	1e-09
21.0	1.0156793268227884	2.284688300369387	1.0999999999353103e-09
22.0	1.0172292900501827	2.3234139737165456	1.0999999999646686e-09
23.0	1.0256738723349508	2.388750718743249	1.0999999999730814e-09
24.0	1.046295620610246	2.5479612904431237	1.0999999999402272e-09
25.0	1.0601725431592683	2.648388777922897	1.0999999999275612e-09
26.0	1.073552289849924	2.736847693276146	1.099999999917942e-09
27.0	1.0893050058439815	2.8288156535020192	1.0999999999105521e-09
28.0	1.1002051103046844	2.8898190449907712	1.0999999998967337e-09
29.0	1.1004402941581688	2.8872507702601173	1.099999999930446e-09
30.0	1.1151731183998506	2.9585101314286364	1.0999999999103062e-09
31.0	1.12625925578955	3.0106069975434773	1.0999999999227152e-09
32.0	1.1371616990541715	3.055290011254081	1.0999999999309895e-09
33.0	1.135947760154656	3.0421266181085196	1.0999999999173677e-09
34.0	1.1504531366204902	3.105285237393063	1.0999999998970298e-09
35.0	1.1587224188752754	3.140909942735697	1.0999999999166685e-09
36.0	1.1570383710369125	3.133084986239257	1.0999999999248696e-09
37.0	1.1727234215471385	3.1965173801788054	1.0999999998993093e-09
38.0	1.179628298817343	3.2224903665299793	1.0999999999263248e-09
39.0	1.1851579008744664	3.2433521788604924	1.099999999923715e-09
