Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale	GP_regression.Gaussian_noise.variance
40.0	1.192026638183198	3.2693459489130343	1.0999999999220872e-09
41.0	1.1974978916974346	3.290813860771451	1.0588750690761852e-09
42.0	1.2083817929726397	3.331159799410772	1.099999999922669e-09
43.0	1.214115402114589	3.353053938886114	1.0004681964817628e-09
44.0	1.2081508037692152	3.3316591950766625	1.0999999999378904e-09
45.0	1.205660397119042	3.322339618745374	1.0999999999390444e-09
46.0	1.2161242643340373	3.3607760100496535	1.099999999931691e-09
47.0	1.2234444706336145	3.385972344696489	1.0060041278019897e-09
48.0	1.223164818672595	3.3853627772269292	3.025061099783892e-08
49.0	1.227910666245572	3.401668803101589	1.0002796071838891e-09
50.0	1.231427759057127	3.4144653467978126	1.0806967460338747e-09
51.0	1.2345777744167346	3.425168350246244	1.0000000000862595e-09
52.0	1.2401642261431536	3.4452000565441137	1.0005449942285707e-09
53.0	1.2246905767791239	3.388988995701893	1.0999999999514674e-09
54.0	1.19908965491183	3.207414028375148	1.0999999998691395e-09
55.0	1.1990583398527668	3.2074384886227083	1.09999999999558e-09
56.0	1.1869791860418342	3.1396173391168443	1.0999999999272783e-09
57.0	1.201887011705106	3.1896634229906238	1.0000000060858567e-09
58.0	1.2092540419497517	3.2175674492459083	1.099999999922331e-09
59.0	1.2194658895354609	3.2539781365800517	1.0999999999254792e-09
60.0	1.2303894633922663	3.2907487655010854	1.0999999999291606e-09
61.0	1.1906376605844382	3.0399199502749314	1.099999999870975e-09
62.0	1.1857118586919855	3.010074048045491	1.0999999999162322e-09
63.0	1.1515695985768017	2.7994196118022456	1.0999999998758655e-09
64.0	1.1474791557683715	2.7844804477734977	1.09999999994123e-09
65.0	1.1606362193878281	2.8314083263638747	1.000330940504279e-09
66.0	1.1616722979067773	2.8368334151480092	1.0999999999165448e-09
67.0	1.1814470174549598	2.8996720792403994	1e-09
68.0	1.185680547023675	2.913768468673638	1.099999999921967e-09
69.0	1.197924259774559	2.954749077768117	1.0999999999130157e-09
70.0	1.2026285080251544	2.970476756861742	1.0999999999075637e-09
71.0	1.2139503318080922	3.007601103963824	1.0000000000092523e-09
72.0	1.2215678156808418	3.0326523119138793	1.099999999898755e-09
73.0	1.2255356413696752	3.045296148460542	1.099999999900481e-09
74.0	1.2345981983452334	3.074054640759924	1.099999999897614e-09
75.0	1.2342437623933502	3.074297494701808	1.0000000080592456e-09
76.0	1.2452352943998153	3.107493344602278	1.0999999999008646e-09
77.0	1.251847736358077	3.127928908384012	1.0000000000000063e-09
78.0	1.2668956834218679	3.171000607819075	1.099999999876712e-09
79.0	1.2656540009768649	3.1685921933123717	1.0000000029174826e-09
80.0	1.266172281661626	3.1707505545513404	1.0999999999013684e-09
81.0	1.2743923465243043	3.1945813298297248	1.0999999998931468e-09
82.0	1.280414853924898	3.212566651069961	1.0999999998923957e-09
83.0	1.2840859450790696	3.2189748886830043	1.0999999999196451e-09
84.0	1.293425269315545	3.2447046797285224	1.0999999998912205e-09
85.0	1.293172519512459	3.244791797985517	1.0999999999906737e-09
86.0	1.2979936932906164	3.259075898998816	1.0851867237504635e-09
87.0	1.2988562788726916	3.261978579236618	1.099999999900383e-09
88.0	1.2963259176245259	3.2561424377705714	1.0999999999412306e-09
89.0	1.2977779922871615	3.2605156469720638	1.099999999900319e-09
90.0	1.304411159377128	3.2785336273346277	1.0999999998959321e-09
91.0	1.3064417104667239	3.2849293447437535	1.0999999999030986e-09
92.0	1.310520569388955	3.296164422749754	1.0085306136228681e-09
93.0	1.3163251947105048	3.311148747320283	1e-09
94.0	1.3152522222917786	3.308746960905997	1.0999999999501379e-09
95.0	1.3150178603154945	3.308997060793887	1.0999999999921957e-09
96.0	1.3335133650978153	3.355342911249343	1.099999999874846e-09
